Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00     40.46     0.00      372     0.00     0.00  MkPoint::MkPoint()
  0.00     40.46     0.00      362     0.00     0.00  MkLiuParticles::GetSize()
  0.00     40.46     0.00      361     0.00     0.00  MkLiuParticle::SetColorType(CType)
  0.00     40.46     0.00       36     0.00     0.00  MkVector::operator()(int)
  0.00     40.46     0.00       20     0.00     0.00  MkShape::MkShape()
  0.00     40.46     0.00       16     0.00     0.00  MkLine::MkLine()
  0.00     40.46     0.00       12     0.00     0.00  MkPoint::Set(double, double, double)
  0.00     40.46     0.00       12     0.00     0.00  MkDouble::Initialize(int)
  0.00     40.46     0.00       12     0.00     0.00  MkDouble::MkDouble()
  0.00     40.46     0.00       12     0.00     0.00  MkVector::~MkVector()
  0.00     40.46     0.00       11     0.00     0.00  MkLiuParticle::~MkLiuParticle()
  0.00     40.46     0.00        8     0.00     0.00  MkPlane::CalcABCD()
  0.00     40.46     0.00        8     0.00     0.00  MkPoint::Unify()
  0.00     40.46     0.00        8     0.00     0.00  MkVector::Unify()
  0.00     40.46     0.00        8     0.00     0.00  MkVector::MkVector(double, double, double)
  0.00     40.46     0.00        4     0.00     0.00  MkLiuBoundary::Initialize()
  0.00     40.46     0.00        4     0.00     0.00  MkLiuBoundary::MkLiuBoundary()
  0.00     40.46     0.00        4     0.00     0.00  MkPlane::ResetAll()
  0.00     40.46     0.00        4     0.00     0.00  MkPlane::SetPoints(MkPoint, MkPoint, MkPoint)
  0.00     40.46     0.00        4     0.00     0.00  MkPlane::MkPlane()
  0.00     40.46     0.00        4     0.00     0.00  MkDouble::Clear()
  0.00     40.46     0.00        4     0.00     0.00  MkVector::Initialize(int)
  0.00     40.46     0.00        4     0.00     0.00  MkVector::Cross(MkVector&, MkVector&)
  0.00     40.46     0.00        4     0.00     0.00  MkVector::GetSize()
  0.00     40.46     0.00        4     0.00     0.00  MkVector::SetVector(int)
  0.00     40.46     0.00        4     0.00     0.00  MkVector::MkVector()
  0.00     40.46     0.00        3     0.00     0.00  MkLiuParticles::Initialize(int)
  0.00     40.46     0.00        3     0.00     0.00  MkLiuSPH::GetLiuParam()
  0.00     40.46     0.00        2     0.00     0.00  MkLiuPairs::MkLiuPairs()
  0.00     40.46     0.00        2     0.00     0.00  MkLiuPairs::~MkLiuPairs()
  0.00     40.46     0.00        2     0.00     0.00  MkLiuParticle::GetMass()
  0.00     40.46     0.00        2     0.00     0.00  MkLiuParticles::MkLiuParticles()
  0.00     40.46     0.00        2     0.00     0.00  MkLiuParticles::~MkLiuParticles()
  0.00     40.46     0.00        2     0.00     0.00  MkLiuSPH::SetRhoRef(double)
  0.00     40.46     0.00        2     0.00     0.00  __gcc_deregister_frame
  0.00     40.46     0.00        1     0.00     0.02  InitLiuSPH()
  0.00     40.46     0.00        1     0.00     0.02  densitycheck(int, char**)
  0.00     40.46     0.00        1     0.00     0.00  initGL()
  0.00     40.46     0.00        1     0.00     0.00  MkLiuGrids::SetSmoothLen(double)
  0.00     40.46     0.00        1     0.00     0.00  MkLiuGrids::Clear()
  0.00     40.46     0.00        1     0.00     0.00  MkLiuGrids::Setup(MkLiuParticles&)
  0.00     40.46     0.00        1     0.00     0.00  MkLiuGrids::Update(MkLiuParticles&)
  0.00     40.46     0.00        1     0.00     0.00  MkLiuGrids::SetXMax(double)
  0.00     40.46     0.00        1     0.00     0.00  MkLiuGrids::SetXMin(double)
  0.00     40.46     0.00        1     0.00     0.00  MkLiuGrids::SetYMax(double)
  0.00     40.46     0.00        1     0.00     0.00  MkLiuGrids::SetYMin(double)
  0.00     40.46     0.00        1     0.00     0.00  MkLiuGrids::SetZMax(double)
  0.00     40.46     0.00        1     0.00     0.00  MkLiuGrids::SetZMin(double)
  0.00     40.46     0.00        1     0.00     0.00  MkLiuKernel::SetKernelType(MkKernelType)
  0.00     40.46     0.00        1     0.00     0.00  MkLiuKernel::SetDim(int)
  0.00     40.46     0.00        1     0.00     0.00  MkLiuBoundarys::Initialize(int)
  0.00     40.46     0.00        1     0.00     0.00  MkLiuParticles::SetColorType(CType)
  0.00     40.46     0.00        1     0.00     0.00  MkLiuSPH::Initialize(int, int, int, int, int)
  0.00     40.46     0.00        1     0.00     0.01  MkLiuSPH::LowDensity()
  0.00     40.46     0.00        1     0.00     0.03  MkLiuSPH::Calc_Bnd_Norm()
  0.00     40.46     0.00        1     0.00     0.00  MkLiuSPH::SetMaxTimeStep(int)
  0.00     40.46     0.00        1     0.00     0.00  MkLiuSPH::GetLiuParticles()
  0.00     40.46     0.00        1     0.00     0.00  MkLiuSPH::SetDt(double)
  0.00     40.46     0.00        1     0.00     0.00  MkLiuSPH::Shake()
  0.00     40.46     0.00        1     0.00     0.00  MkLiuSPH::Output()
  0.00     40.46     0.00        1     0.00     0.00  MkLiuSPH::SetDim(int)
  0.00     40.46     0.00        1     0.00     0.03  MkLiuSPH::Calc_Norm()

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.
 
 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this 
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

		     Call graph (explanation follows)


granularity: each sample hit covers 4 byte(s) for 0.02% of 40.46 seconds

index % time    self  children    called     name
                0.14   23.80    2002/2002        update() [2]
[1]     59.2    0.14   23.80    2002         MkLiuSPH::Run() [1]
                0.03   23.66    2001/2001        MkLiuSPH::Single_Step() [3]
                0.07    0.00 27462353/3307266707     MkLiuParticles::operator[](int) [6]
                0.04    0.00 4332000/4332000     MkDouble::operator()(int, int) [37]
                0.00    0.00    4004/22013       MkDouble::MkDouble(int) [43]
                0.00    0.00 1444000/306053169     MkDouble::operator()(int) [12]
                0.00    0.00    6003/24024       MkDouble::~MkDouble() [87]
                0.00    0.00    2002/2002        MkDouble::MkDouble(int, int) [92]
                0.00    0.00       1/1           MkLiuSPH::Output() [143]
-----------------------------------------------
                                                 <spontaneous>
[2]     59.2    0.00   23.94                 update() [2]
                0.14   23.80    2002/2002        MkLiuSPH::Run() [1]
-----------------------------------------------
                0.03   23.66    2001/2001        MkLiuSPH::Run() [1]
[3]     58.5    0.03   23.66    2001         MkLiuSPH::Single_Step() [3]
                3.69   13.48    2001/2001        MkLiuSPH::Direct_Find() [4]
                2.06    2.16    2001/2001        MkLiuSPH::Int_Force() [8]
                0.58    0.50    2001/2001        MkLiuSPH::Art_Visc() [11]
                0.09    0.51    2001/2001        MkLiuSPH::Direct_Bnd_Find() [13]
                0.25    0.12    2001/2001        MkLiuSPH::Norm_Bnd_Density() [15]
                0.07    0.00 31061558/3307266707     MkLiuParticles::operator[](int) [6]
                0.02    0.05    2001/2001        MkLiuSPH::Ext_Force() [32]
                0.02    0.03    2001/2001        MkLiuSPH::Art_Bnd_Repel() [36]
                0.00    0.03    2001/2001        MkLiuSPH::Viscosity() [40]
-----------------------------------------------
                3.69   13.48    2001/2001        MkLiuSPH::Single_Step() [3]
[4]     42.4    3.69   13.48    2001         MkLiuSPH::Direct_Find() [4]
                3.95    3.73    2001/2001        MkLiuSPH::Pair_Count() [7]
                2.53    0.00 1061196761/3307266707     MkLiuParticles::operator[](int) [6]
                0.81    1.69 130024980/137978342     MkLiuKernel::SetSmoothLen(double) [9]
                0.19    0.00 4341554/4542680     MkLiuKernel::dWdY(double, double, double, double) [17]
                0.18    0.00 4341554/4542680     MkLiuKernel::dWdZ(double, double, double, double) [18]
                0.13    0.00 4341554/5265044     MkLiuKernel::W(double) [20]
                0.12    0.00 4341554/4542680     MkLiuKernel::dWdX(double, double, double, double) [22]
                0.09    0.00 43415540/235666249     MkLiuPairs::operator[](int) [14]
                0.01    0.04    2001/4004        MkLiuPairs::Initialize(int) [25]
-----------------------------------------------
                                                 <spontaneous>
[5]     39.8   16.10    0.00                 pow [5]
-----------------------------------------------
                0.00    0.00       2/3307266707     InitLiuSPH() [54]
                0.00    0.00      23/3307266707     MkLiuSPH::Calc_Bnd_Norm() [53]
                0.00    0.00      88/3307266707     MkLiuSPH::Calc_Norm() [52]
                0.00    0.00     722/3307266707     MkLiuSPH::Shake() [64]
                0.00    0.00    4332/3307266707     MkLiuSPH::LowDensity() [57]
                0.00    0.00  722361/3307266707     MkLiuParticles::Draw() [26]
                0.01    0.00 2167083/3307266707     MkLiuSPH::Viscosity() [40]
                0.01    0.00 5393019/3307266707     MkLiuSPH::Art_Bnd_Repel() [36]
                0.01    0.00 5778888/3307266707     MkLiuSPH::Pair_Bnd_Count() [21]
                0.03    0.00 11572552/3307266707     MkLiuSPH::Ext_Force() [32]
                0.05    0.00 19734419/3307266707     MkLiuSPH::Norm_Bnd_Density() [15]
                0.05    0.00 20445105/3307266707     MkLiuSPH::Direct_Bnd_Find() [13]
